date_posted,headline,post_body,low_temp,avg_temp,high_temp,inches_precip,miles_visible,max_wind,sea_pressure
2020-12-17,ON THE HUNT,"We were on the hunt for Yellowtail today but never able to connect. We covered a lot of water for a handful of fish. We're not giving up on Yellowtail, Tomorrow is a new day. Wish us luck, Brian & Indy crew",46.0,57.34,64.0,0.0,10.0,10.0,30.08
2020-12-18,SCRATCHING AWAY,"Searched for Yellowtail again today to find non biters. Good action on bass, barracuda, and bonito for our efforts. We'll be traveling up to be home on Sunday. Nice weather for our travels. Brian & Indy crew",52.0,58.04,66.0,0.0,10.0,9.0,30.23
2020-12-16,GOOD ACTION,Another good day of fishing for the guys. It was slow in the morning but we went looking and it paid off. Had great action of Yellowfin Tuna and some Yellowtail again. We'll be heading up the coast hunting for Yellowtail tomorrow. Brian & Indy crew,43.0,56.38,72.0,0.0,10.0,9.0,30.17
2020-12-15,GOOD DAY,The guys had an awesome day pulling on Yellowfin Tuna and Yellowtail. All smiles and fun today with steady action. We're gonna try out a new area and hope for another great day tomorrow. Brian & Indy crew,49.0,57.24,68.0,0.03,10.0,9.0,30.21
2020-12-14,GOOD SIGN,Beautiful weather for the guys today. Their are no shortage of big fish down here but getting a bite is a whole other story. We put in a lot of effort for no rewards. We're gonna go try a find some biting fish tomorrow. Brian & Indy crew,51.0,56.68,64.0,0.0,10.0,10.0,30.12
2020-12-13,BIG ONES AROUND,These big Yellowfin Tuna are hard to catch but what an incredible sign off fish all day. From sun rise to sunset their were 150-300 pound tuna boiling right next to the boat keeping us all excited. Had a few heart breaks on big ones that got away but were able to land one at 203 pounds. Try one more day for a fish of a life time. Brian & Indy crew,47.0,57.42,69.0,0.0,10.0,10.0,30.24
2020-12-12,trip 20-28 nice Yellowtail for today,Checked out a different area in the morning hoping for the jackpot but didn't payoff. Got to the big fish zone around noon and didn't see much. Got our anchor down and had a few giant yellowtail bit right away. Incredible size yellowtail (40-48 lbs). Weather is choppy again today and hoping for a better day tomorrow. Stay tone,50.0,56.13,63.0,0.0,10.0,6.0,30.15
2020-12-11,TOUGH START,Had a tough day to start. The weather wasn't on our side in the morning. Had a little bit of action on good grade Yellowtail (18-25 lbs). Before the sun went downer we had a wide open bite of Yellowfin Tuna to get us warmed up for the trip. The guys had a blast pulling on fish. We'll be in the big fish zone tomorrow and hoping for nice weather. Brian & Indy crew,49.0,57.5,64.0,0.0,10.0,12.0,30.14
2020-12-10,HEADING SOUTH,Another beautiful day on the water. Smooth sailing on our second day traveling south. Did our tackle seminar today and got everyone rigged up for a great trip. We'll be targeting Wahoo tomorrow and hoping their ready for us. Brian & Indy crew,51.0,58.53,63.0,0.0,10.0,9.0,30.11
2020-12-08,TRIP 20-28 DEPARTS ,We left on our 11 day lower banks/ ridge trip. Awesome group of guys that are hungry to catch some fish. Beautiful calm weather as we travel south. Wish us luck!! Brian & the Indy crew,54.0,64.35,79.0,0.0,10.0,12.0,30.08
2020-12-08,TRIP 20-27 JP,"Left to right Andy 221 Rocky 237 Bob 49 lb yellowtail Ronnie and Jimmy 204 Digger 196 Marty and Mike wish a pair of Wahoo
Thanks again guys !",54.0,64.35,79.0,0.0,10.0,12.0,30.08
2020-12-06,trip 20-27 Bob's Yellowtail ,,44.0,54.92,69.0,0.0,10.0,12.0,30.22
2020-12-05,12-5-2020 big fish zone,We have covered some ground the past couple days and ended up in the big fish zone. We managed to catch 5 yellowfin in the 200 pound class and watched a whole bunch more. Not as much cooperation on the fishes part but the guys gave it a good try. They were sure hesitant to bite a bait with a hook in it. Nonetheless we scraped a couple handfuls and had some beautiful yellowtail to go with it in the 40-50 pound class for the effort. We are working up all the time know in nice weather and gonna be in the hunt for more yellowfin. Wish us luck,43.0,55.0,70.0,0.0,10.0,7.0,30.27
